"R.D.Spend","Administration","Marketing.Spend","Profit","pred","Error"
165349.2,136897.8,471784.1,192261.83,191723.923835509,537.906164491113
162597.7,151377.59,443898.53,191792.06,188394.50683547,3397.55316452996
153441.51,101145.55,407934.54,191050.39,181435.510686616,9614.87931338404
144372.41,118671.85,383199.62,182901.99,173125.127154832,9776.8628451679
142107.34,91391.77,366168.42,166187.94,171555.346294524,-5367.40629452362
131876.9,99814.71,362861.36,156991.12,163163.42415289,-6172.30415289017
134615.46,147198.87,127716.82,156122.51,157498.179097188,-1375.66909718758
130298.13,145530.06,323876.68,155752.6,159648.040969629,-3895.44096962854
120542.52,148718.95,311613.29,152211.77,151513.434691607,698.335308393114
123334.88,108679.17,304981.62,149759.96,154559.01165272,-4799.0516527202
101913.08,110594.11,229160.95,146121.95,135451.630303221,10670.3196967791
100671.96,91790.61,249744.55,144259.4,135531.841632855,8727.55836714478
93863.75,127320.38,249839.44,141585.52,129245.004068341,12340.5159316592
91992.39,135495.07,252664.93,134307.35,127636.475848073,6670.87415192682
119943.24,156547.42,256512.92,132602.65,149289.319465998,-16686.6694659983
114523.61,122616.84,261776.23,129917.04,146024.688528788,-16107.6485287885
78013.11,121597.55,264346.06,126992.93,117276.11762923,9716.81237077025
94657.16,145077.58,282574.31,125370.37,130337.782162995,-4967.41216299459
91749.16,114175.79,294919.57,124266.9,129179.21397663,-4912.31397662951
86419.7,153514.11,0,122776.86,115664.018346997,7112.84165300288
76253.86,113867.3,298664.47,118474.03,117049.616171502,1424.41382849762
78389.47,153773.43,299737.29,111313.02,117744.679529411,-6431.65952941058
73994.56,122782.75,303319.26,110352.25,115167.057227051,-4814.80722705084
67532.53,105751.03,304768.73,108733.99,110538.558907181,-1804.56890718082
77044.01,99281.34,140574.81,108552.04,113600.365335527,-5048.32533552741
64664.71,139553.16,137962.62,107404.34,102714.151297187,4690.18870281341
75328.87,144135.98,134050.07,105733.54,110912.429043667,-5178.88904366664
72107.6,127864.55,353183.81,105008.31,114948.718181675,-9940.40818167536
66051.52,182645.56,118148.2,103282.38,102148.364290644,1134.01570935626
65605.48,153032.06,107138.38,101004.64,102244.976149218,-1240.33614921776
61994.48,115641.28,91131.24,99937.59,99899.6364654764,37.9535345235636
61136.38,152701.92,88218.23,97483.56,98190.1466191344,-706.586619134367
63408.86,129219.61,46085.25,97427.84,99402.0372300263,-1974.19723002629
55493.95,103057.49,214634.81,96778.92,98560.2952561048,-1781.37525610482
46426.07,157693.92,210797.67,96712.8,89887.9316853103,6824.86831468967
46014.02,85047.44,205517.64,96479.51,91275.164638016,5204.345361984
28663.76,127056.21,201126.82,90708.19,76366.8517323391,14341.3382676609
44069.95,51283.14,197029.42,89949.14,90365.4681435052,-416.328143505176
20229.59,65947.93,185265.1,81229.06,70822.4951181513,10406.5648818487
38558.51,82982.09,174999.3,81005.76,84578.9568233429,-3573.19682334295
28754.33,118546.05,172795.67,78239.91,75859.464270313,2380.445729687
27892.92,84710.77,164470.71,77798.83,75811.5897788222,1987.24022117782
23640.93,96189.63,148001.11,71498.49,71694.6692523353,-196.179252335278
15505.73,127382.3,35534.17,69758.98,61303.9898486651,8454.99015133494
22177.74,154806.14,28334.72,65200.33,65670.3751506458,-470.045150645761
1315.46,115816.21,297114.46,49490.75,57747.1794385919,-8256.42943859195
0,135426.92,0,42559.73,47847.1591848583,-5287.42918485831
542.05,51743.15,0,35673.41,50419.5558971884,-14746.1458971883
